timestamp,open,high,low,close,volume,trade
1567900800,10000.0,10412.65,10000.0,10391.63,3096.291,3754
1567987200,10316.62,10475.54,10077.22,10307.0,14824.373,11296
1568073600,10307.0,10382.97,9940.87,10102.02,9068.955,10089
1568160000,10094.27,10293.11,9884.31,10159.55,10897.922,13811
1568246400,10163.06,10450.13,10042.12,10415.13,15609.634,20060
1568332800,10414.96,10440.55,10153.51,10341.34,19252.721,29249
1568419200,10343.01,10419.97,10222.77,10332.25,20656.624,30436
1568505600,10333.47,10359.2,10024.81,10302.22,20536.255,25912
1568592000,10302.0,10353.81,10080.7,10249.27,20185.637,31837
1568678400,10257.3,10270.63,10136.77,10186.52,22519.607,31535
1568764800,10183.87,10256.65,10097.92,10155.16,20832.895,30799
1568851200,10154.7,10331.62,9530.02,10245.3,26228.754,41871
1568937600,10247.7,10279.3,10070.5,10166.35,23265.91,31054
1569024000,10166.56,10175.3,9912.63,9983.33,23642.387,32670
1569110400,9992.7,10089.52,9857.0,10023.04,23916.354,33401
1569196800,10027.69,10046.91,9620.0,9701.96,31927.062,42190
1569283200,8683.2,9792.83,8645.61,8645.61,29758.535,46730
1569369600,8493.32,8725.24,8200.0,8430.07,48222.102,85707
1569456000,8428.15,8464.4,7700.67,8060.15,60065.945,110581
1569542400,8061.98,8260.0,7851.94,8176.52,40034.653,80396
1569628800,8178.26,8311.0,8001.14,8195.38,33820.919,69220
1569715200,8199.0,8226.35,7888.98,8041.96,35966.056,78128
1569801600,8042.08,8331.89,7709.01,8285.84,54412.52,107329
1569888000,8285.31,8499.0,8171.0,8290.0,39212.804,92166
1569974400,8290.0,8365.92,8149.35,8352.14,30329.179,71452
1570060800,8353.4,8386.0,8020.0,8220.27,33430.23,82221
1570147200,8219.95,8227.42,7979.95,8130.56,28421.111,74683
1570233600,8130.0,8175.0,8010.0,8122.14,30262.006,69791
1570320000,8122.01,8148.43,7760.0,7852.79,41909.039,94844
1570406400,7851.01,8330.0,7764.42,8186.88,62760.299,115400
1570492800,8188.55,8322.01,8103.88,8167.62,44715.165,82468
1570579200,8168.33,8700.0,8113.0,8559.77,65453.643,114326
1570665600,8559.77,8640.89,8419.34,8556.02,44285.668,83861
1570752000,8557.0,8788.0,8210.0,8255.58,69157.964,116971
1570838400,8255.54,8397.45,8248.34,8300.22,37761.514,68373
1570924800,8300.31,8456.0,8137.3,8274.66,43820.913,80857
1571011200,8274.33,8381.77,8205.02,8346.05,61999.821,93034
1571097600,8346.31,8408.62,8080.0,8160.01,86246.749,97630
1571184000,8160.55,8184.0,7900.24,7992.21,70434.452,90317
1571270400,7994.76,8124.63,7930.0,8069.2,58354.602,80845
1571356800,8069.41,8117.3,7812.0,7943.94,75251.352,102381
1571443200,7945.57,8108.54,7852.12,7947.13,78024.395,98068
1571529600,7947.78,8300.5,7871.17,8218.23,78663.915,120205
1571616000,8218.23,8334.57,8150.0,8201.74,59928.516,100497
1571702400,8201.0,8290.0,8000.0,8020.89,69506.88,115709
1571788800,8020.68,8047.78,7172.76,7465.0,108484.139,202487
1571875200,7465.18,7495.81,7337.44,7411.35,66719.534,111756
1571961600,7410.07,8800.0,7359.0,8650.0,165118.926,322189
1572048000,8650.0,10408.48,8626.89,9232.22,248161.161,503375
1572134400,9234.75,9803.83,9066.07,9533.32,163544.019,309972
1572220800,9534.37,9930.13,9156.03,9217.36,155599.975,279048
1572307200,9215.78,9569.1,9070.0,9415.02,124703.014,242823
1572393600,9415.02,9418.65,8975.72,9165.3,98464.858,233836
1572480000,9163.4,9438.64,8933.0,9150.0,98836.044,247658
1572566400,9149.88,9280.0,9050.27,9231.01,87256.949,237247
1572652800,9231.7,9375.0,9194.98,9287.8,56602.055,163182
1572739200,9288.96,9366.69,9073.0,9197.88,75612.722,257133
1572825600,9197.86,9550.0,9126.01,9395.46,90433.357,248571
1572912000,9395.47,9457.13,9164.33,9313.2,113738.226,276198
1572998400,9313.1,9450.0,9259.48,9343.6,73767.911,190226
1573084800,9344.29,9381.93,9091.2,9219.64,77389.569,178691
1573171200,9221.63,9259.3,8669.85,8775.03,151851.16,319405
1573257600,8775.6,8878.0,8727.0,8811.15,66846.392,183364
1573344000,8811.3,9187.0,8760.0,9041.31,91099.197,245197
1573430400,9041.31,9072.91,8611.11,8728.93,113373.762,324917
1573516800,8729.89,8889.06,8552.12,8817.0,107520.546,287214
1573603200,8817.94,8838.0,8712.0,8774.76,58585.811,163995
1573689600,8774.78,8798.06,8581.39,8642.25,87099.995,225625
1573776000,8642.47,8780.0,8380.0,8473.27,145602.497,368156
1573862400,8473.3,8540.54,8435.0,8491.06,48657.04,152747
1573948800,8491.18,8631.0,8355.78,8504.04,72152.266,215149
1574035200,8504.13,8504.71,8050.0,8183.26,123477.142,363313
1574121600,8183.3,8212.87,8000.0,8131.7,110854.03,294385
1574208000,8131.12,8230.0,8037.5,8094.05,87352.38,241974
1574294400,8094.57,8131.51,7432.0,7621.9,180289.189,412277
1574380800,7621.89,7765.03,6762.73,7262.72,371213.951,999166
1574467200,7261.89,7345.84,7073.38,7305.99,139643.311,378359
1574553600,7306.19,7324.92,6855.91,6900.86,183676.078,504021
1574640000,6899.77,7386.29,6510.19,7102.03,333987.914,926856
1574726400,7103.34,7340.06,7011.9,7150.0,193962.094,525112
1574812800,7149.97,7669.2,6850.0,7506.77,297842.994,787562
1574899200,7506.78,7643.0,7356.0,7415.79,175000.609,439167
1574985600,7417.0,7850.0,7394.57,7736.66,185819.186,481870
1575072000,7737.23,7800.0,7444.18,7542.93,141966.392,362290
1575158400,7541.08,7541.08,7222.29,7387.38,196291.252,500459
1575244800,7388.0,7416.75,7137.74,7291.0,143966.953,370901
1575331200,7291.74,7404.42,7231.35,7290.86,84699.47,233130
1575417600,7290.85,7800.0,7070.0,7191.0,274879.481,593445
1575504000,7189.42,7480.0,7142.54,7384.99,176315.108,446089
1575590400,7384.66,7602.44,7295.73,7522.1,136218.707,367352
1575676800,7521.13,7616.91,7467.44,7487.2,83208.782,223129
1575763200,7487.19,7559.39,7376.0,7508.2,84380.338,218684
1575849600,7507.87,7676.48,7269.05,7337.49,136440.176,349478
1575936000,7338.2,7403.71,7152.0,7220.98,126662.794,294099
1576022400,7220.92,7267.0,7117.74,7205.77,97320.727,224496
1576108800,7206.78,7295.12,7080.0,7194.77,140594.105,304604
1576195200,7194.08,7298.0,7190.0,7252.98,80178.833,187255
1576281600,7252.98,7266.14,7007.86,7061.34,97837.512,236813
1576368000,7060.79,7196.0,7004.77,7115.0,87933.233,180924
1576454400,7115.45,7147.34,6831.0,6887.54,117597.89,249488
1576540800,6887.48,6940.0,6550.0,6618.96,166411.289,348899
1576627200,6618.96,7479.99,6427.0,7277.44,328489.593,675369
1576713600,7278.11,7367.87,7042.82,7146.29,158849.566,323697
1576800000,7146.29,7217.08,7078.17,7184.39,86449.566,179313
1576886400,7184.39,7185.0,7108.0,7131.01,44340.865,99594
1576972800,7131.02,7517.61,7122.0,7502.92,129797.395,278563
1577059200,7502.92,7691.0,7262.0,7314.01,215298.787,431464
1577145600,7314.03,7434.55,7156.08,7252.04,149081.004,279760
1577232000,7251.57,7267.63,7123.19,7201.45,96965.072,174360
1577318400,7201.67,7438.8,7151.0,7197.46,133973.533,246938
1577404800,7197.84,7270.0,7078.89,7248.4,112284.61,211189
1577491200,7248.4,7359.15,7235.0,7311.48,91292.882,156362
1577577600,7310.29,7527.0,7283.6,7383.67,102543.974,186571
1577664000,7383.68,7400.0,7215.58,7240.43,94375.362,174925
1577750400,7240.8,7319.0,7141.0,7189.0,89203.437,157014
1577836800,7189.43,7260.43,7170.15,7197.57,56801.329,101871
1577923200,7197.57,7209.59,6922.0,6962.04,115295.677,224747
1578009600,6962.34,7407.28,6863.44,7341.72,208493.458,409820
1578096000,7341.6,7400.0,7269.21,7350.71,92586.033,186349
1578182400,7350.54,7495.0,7303.0,7354.36,117765.972,238905
1578268800,7354.36,7808.65,7345.0,7757.39,168150.317,323625
1578355200,7757.74,8215.33,7733.0,8152.49,280809.162,526402
1578441600,8150.9,8468.42,7870.11,8059.84,321225.114,650971
1578528000,8059.77,8060.0,7750.01,7818.59,187263.143,362420
1578614400,7817.91,8210.62,7670.0,8207.09,253783.948,542054
1578700800,8207.2,8292.19,8003.87,8020.56,164741.715,354690
1578787200,8020.58,8195.0,7956.28,8186.7,108629.964,243290
1578873600,8186.22,8200.0,8053.78,8113.0,74581.364,184440
1578960000,8112.99,8893.0,8109.02,8825.0,290777.981,652920
1579046400,8825.0,8921.2,8570.52,8825.3,237633.837,435491
