word,rnf
hayes,259.64100628173765
blockstreams,185.1595379918022
pumping,159.40426391023573
rplr,132.95290133997827
analyses,121.8154855209225
wrong,119.03113156615856
faith,118.33504307746756
hiking,113.81046790097615
bigger,107.1976272584118
arthur,105.10936179233885
